region,tier,market_size
South - Telangana,Metro,3466000
North - Punjab,Tier-1,2355000
Northeast - Meghalaya,Tier-3,464000
Northeast - Manipur,Tier-3,418000
West - Gujarat,Tier-1,2785000
Central - Chhattisgarh,Tier-3,1072000
South - Telangana,Metro,3804000
South - Andhra Pradesh,Tier-1,2706000
North - J&K,Tier-3,775000
East - Odisha,Tier-2,2021000
West - Maharashtra,Metro,5821000
West - Goa,Tier-2,781000
Central - Chhattisgarh,Tier-3,956000
West - Rajasthan,Tier-2,2002000
East - West Bengal,Metro,4107000
West - Gujarat,Tier-1,2771000
East - West Bengal,Metro,3759000
West - Gujarat,Tier-1,2932000
South - Tamil Nadu,Metro,4749000
North - Himachal Pradesh,Tier-3,896000
North - Haryana,Tier-1,1746000
South - Kerala,Tier-1,2428000
Northeast - Manipur,Tier-3,368000
North - Uttarakhand,Tier-2,1235000
West - Gujarat,Tier-1,3140000
West - Rajasthan,Tier-2,1985000
Central - Madhya Pradesh,Tier-2,2635000
East - West Bengal,Metro,3134000
North - UP,Tier-2,3638000
Northeast - Manipur,Tier-3,430000
East - Bihar,Tier-2,2047000
West - Goa,Tier-2,668000
North - Punjab,Tier-1,2579000
West - Rajasthan,Tier-2,2300000
Northeast - Manipur,Tier-3,436000
West - Rajasthan,Tier-2,2377000
East - Jharkhand,Tier-3,1260000
Central - Chhattisgarh,Tier-3,920000
Northeast - Assam,Tier-2,1346000
North - Punjab,Tier-1,2224000
South - Telangana,Metro,4117000
Northeast - Meghalaya,Tier-3,514000
Northeast - Meghalaya,Tier-3,451000
North - Punjab,Tier-1,2596000
North - Punjab,Tier-1,2517000
North - J&K,Tier-3,902000
South - Karnataka,Metro,4189000
East - Jharkhand,Tier-3,960000
North - Delhi,Metro,5146000
West - Gujarat,Tier-1,2886000
North - Haryana,Tier-1,1727000
Central - Madhya Pradesh,Tier-2,2073000
Northeast - Manipur,Tier-3,418000
West - Gujarat,Tier-1,3265000
South - Telangana,Metro,4082000
Northeast - Manipur,Tier-3,435000
South - Karnataka,Metro,3972000
East - Jharkhand,Tier-3,989000
North - Delhi,Metro,4360000
West - Gujarat,Tier-1,3473000
North - J&K,Tier-3,991000
North - Himachal Pradesh,Tier-3,816000
North - Himachal Pradesh,Tier-3,690000
North - Punjab,Tier-1,2358000
Northeast - Tripura,Tier-3,430000
North - Delhi,Metro,4291000
West - Goa,Tier-2,667000
Northeast - Assam,Tier-2,1457000
West - Maharashtra,Metro,6149000
South - Karnataka,Metro,4608000
East - Odisha,Tier-2,1894000
North - UP,Tier-2,3025000
North - Uttarakhand,Tier-2,1081000
South - Telangana,Metro,4219000
East - Jharkhand,Tier-3,1251000
East - Odisha,Tier-2,2023000
East - Jharkhand,Tier-3,1038000
South - Tamil Nadu,Metro,4255000
East - West Bengal,Metro,3104000
North - Haryana,Tier-1,2210000
West - Goa,Tier-2,660000
East - West Bengal,Metro,3498000
West - Goa,Tier-2,643000
Northeast - Meghalaya,Tier-3,526000
Northeast - Assam,Tier-2,1200000
West - Goa,Tier-2,695000
Northeast - Assam,Tier-2,1188000
North - J&K,Tier-3,811000
North - J&K,Tier-3,979000
North - Himachal Pradesh,Tier-3,785000
Northeast - Meghalaya,Tier-3,473000
North - Uttarakhand,Tier-2,1029000
North - Uttarakhand,Tier-2,1134000
North - UP,Tier-2,3073000
Northeast - Meghalaya,Tier-3,502000
Northeast - Meghalaya,Tier-3,535000
West - Gujarat,Tier-1,3459000
South - Telangana,Metro,3613000
South - Karnataka,Metro,4530000
South - Kerala,Tier-1,2952000
East - Bihar,Tier-2,2323000
North - Delhi,Metro,4410000
North - Uttarakhand,Tier-2,1120000
East - Odisha,Tier-2,1926000
Northeast - Tripura,Tier-3,455000
South - Tamil Nadu,Metro,4779000
South - Andhra Pradesh,Tier-1,3104000
North - Uttarakhand,Tier-2,1124000
Northeast - Tripura,Tier-3,494000
East - Odisha,Tier-2,1718000
South - Kerala,Tier-1,2847000
Northeast - Meghalaya,Tier-3,523000
North - J&K,Tier-3,851000
West - Rajasthan,Tier-2,2223000
North - Haryana,Tier-1,2176000
North - Uttarakhand,Tier-2,1163000
Northeast - Meghalaya,Tier-3,536000
East - Jharkhand,Tier-3,1247000
East - Odisha,Tier-2,1802000
West - Goa,Tier-2,762000
North - Himachal Pradesh,Tier-3,811000
West - Maharashtra,Metro,5541000
